name,wikipedia_site,logo_url,official_site,id
A+_plus,https://en.wikipedia.org/wiki/A%2B_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5c/Aplus_logo.jpg,http://www.aplusdev.org/index.html,
Accent,https://en.wikipedia.org/wiki/Accent_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/RationalSoftware.png/220px-RationalSoftware.png,http://www-03.ibm.com/software/products/en/ratisyne,
ActionScript,https://en.wikipedia.org/wiki/ActionScript,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/ActionScript_icon.png/150px-ActionScript_icon.png,http://help.adobe.com/livedocs/specs/actionscript/3/wwhelp/wwhimpl/js/html/wwhelp.htm,
AMPL,https://en.wikipedia.org/wiki/AMPL,https://upload.wikimedia.org/wikipedia/en/b/b6/AMPL_%28textbook_cover%29.jpg,http://ampl.com/,
App Inventor for Android's visual block language,https://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language),https://upload.wikimedia.org/wikipedia/en/2/2c/App_Inventor_Logo.png,http://appinventor.mit.edu/,
AppleScript,https://en.wikipedia.org/wiki/AppleScript,https://upload.wikimedia.org/wikipedia/en/9/9e/AppleScript_Editor_Logo.png,https://developer.apple.com/library/content/documentation/AppleScript/Conceptual/AppleScriptX/AppleScriptX.html,
AutoHotkey,https://en.wikipedia.org/wiki/AutoHotkey,https://upload.wikimedia.org/wikipedia/commons/3/36/AutoHotkey_logo.png,https://autohotkey.com/,
AutoIt,https://en.wikipedia.org/wiki/AutoIt,https://upload.wikimedia.org/wikipedia/en/2/22/Autoitlogo.png,https://www.autoitscript.com/site/autoit/,
Axum,https://en.wikipedia.org/wiki/Axum_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Axum_Banner.png/150px-Axum_Banner.png,https://msdn.microsoft.com/en-us/devlabs/dd795202.aspx,
Bash,https://en.wikipedia.org/wiki/Bash_(Unix_shell),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Gnu-bash-logo.svg/152px-Gnu-bash-logo.svg.png,https://www.gnu.org/software/bash/,
Boo,https://en.wikipedia.org/wiki/Boo_(programming_language),https://upload.wikimedia.org/wikipedia/commons/e/e6/BooLogo.png,https://github.com/boo-lang,
C++_plus plus,https://en.wikipedia.org/wiki/C%2B%2B,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/C_plus_plus.svg/140px-C_plus_plus.svg.png,https://isocpp.org/,
C#_sharp,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/C_Sharp_wordmark.svg/150px-C_Sharp_wordmark.svg.png,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/,
Caml,https://en.wikipedia.org/wiki/Caml,https://upload.wikimedia.org/wikipedia/en/4/4a/Caml.gif,http://caml.inria.fr/,
Ceylon,https://en.wikipedia.org/wiki/Ceylon_(programming_language),https://upload.wikimedia.org/wikipedia/en/2/20/Ceylon_%28programming_language%29_logo.png,https://ceylon-lang.org/,
CFEngine,https://en.wikipedia.org/wiki/CFEngine,https://upload.wikimedia.org/wikipedia/commons/2/2b/Cfengine_logo.png,https://cfengine.com/,
Chapel,https://en.wikipedia.org/wiki/Chapel_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/c0/Cray_Chapel_Logo.png,http://chapel.cray.com/,
ChucK,https://en.wikipedia.org/wiki/ChucK,https://upload.wikimedia.org/wikipedia/commons/6/6a/ChucK_logo2.jpg,http://chuck.cs.princeton.edu/,
CICS,https://en.wikipedia.org/wiki/CICS,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/200px-IBM_logo.svg.png,https://www-01.ibm.com/software/data/enterprise-application-servers/cics/,
Citrine (programming language),https://en.wikipedia.org/wiki/Citrine_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Citrine_programming_language_logo.png/220px-Citrine_programming_language_logo.png,http://citrine-lang.org/,
Clean,https://en.wikipedia.org/wiki/Clean_(programming_language),https://upload.wikimedia.org/wikipedia/en/8/88/Cleanlang_logo.jpg,http://clean.cs.ru.nl/Clean,
Clojure,https://en.wikipedia.org/wiki/Clojure,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Clojure_logo.svg/220px-Clojure_logo.svg.png,https://clojure.org/,
CoffeeScript,https://en.wikipedia.org/wiki/CoffeeScript,https://upload.wikimedia.org/wikipedia/en/1/1c/CoffeeScript-logo.png,http://coffeescript.org/,
ColdFusion,https://en.wikipedia.org/wiki/ColdFusion,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Adobe_ColdFusion_10_icon.png/64px-Adobe_ColdFusion_10_icon.png,http://www.adobe.com/products/coldfusion-family.html,
Coq,https://en.wikipedia.org/wiki/Coq,https://upload.wikimedia.org/wikipedia/commons/d/d8/Coq_logo.png,https://coq.inria.fr/,
Crystal (programming language),https://en.wikipedia.org/wiki/Crystal_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/The_Crystal_programming_language_logo.svg/260px-The_Crystal_programming_language_logo.svg.png,https://crystal-lang.org/,
CUDA,https://en.wikipedia.org/wiki/CUDA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Nvidia_CUDA_Logo.jpg/300px-Nvidia_CUDA_Logo.jpg,https://developer.nvidia.com/cuda-zone,
Curl,https://en.wikipedia.org/wiki/Curl_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5a/Curl_logo.gif,http://www.curl.com/,
Cython,https://en.wikipedia.org/wiki/Cython,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Cython-logo.svg/220px-Cython-logo.svg.png,http://cython.org/,
D,https://en.wikipedia.org/wiki/D_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/D_Programming_Language_logo.svg/120px-D_Programming_Language_logo.svg.png,https://dlang.org/,
Dart,https://en.wikipedia.org/wiki/Dart_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Dart_logo_wordmark.png/241px-Dart_logo_wordmark.png,https://www.dartlang.org/,
dBase,https://en.wikipedia.org/wiki/DBase,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/DBaseLogo_BlackWithRed_glass_300.png/220px-DBaseLogo_BlackWithRed_glass_300.png,http://www.dbase.com/,
Elixir,https://en.wikipedia.org/wiki/Elixir_(programming_language),https://upload.wikimedia.org/wikipedia/en/a/a4/Elixir_programming_language_logo.png,https://elixir-lang.org/,
Elm,https://en.wikipedia.org/wiki/Elm_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Elm_logo.svg/120px-Elm_logo.svg.png,http://elm-lang.org/,
Erlang,https://en.wikipedia.org/wiki/Erlang_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Erlang_logo.svg/114px-Erlang_logo.svg.png,https://www.erlang.org/,
Euphoria,https://en.wikipedia.org/wiki/Euphoria_(programming_language),https://upload.wikimedia.org/wikipedia/commons/c/c3/OpenEuphoria_logo.png,http://openeuphoria.org/,
F#_sharp,https://en.wikipedia.org/wiki/F_Sharp_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Fsharp%2C_Logomark%2C_October_2014.svg/220px-Fsharp%2C_Logomark%2C_October_2014.svg.png,http://fsharp.org/,
F*_star,https://en.wikipedia.org/wiki/F*_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Fstar-official-logo-2015.png/120px-Fstar-official-logo-2015.png,https://www.fstar-lang.org/,
Factor,https://en.wikipedia.org/wiki/Factor_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/NewFactorLogo.png/200px-NewFactorLogo.png,http://factorcode.org/,
Falcon,https://en.wikipedia.org/wiki/Falcon_(programming_language),https://upload.wikimedia.org/wikipedia/en/3/3a/FalconplLogo.png,http://falconpl.org/,
Fantom,https://en.wikipedia.org/wiki/Fantom_(programming_language),https://upload.wikimedia.org/wikipedia/commons/8/8c/Fantom-logo.png,http://www.fantom.org/,
FoxBase,https://en.wikipedia.org/wiki/FoxBase,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/VisualFoxProScreenshot.png/300px-VisualFoxProScreenshot.png,https://msdn.microsoft.com/en-us/library/mt490117,
Frege,https://en.wikipedia.org/wiki/Frege_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Frege_logo.svg/220px-Frege_logo.svg.png,https://github.com/Frege/frege,
Game Maker Language,https://en.wikipedia.org/wiki/GameMaker:_Studio,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/The_game_maker_logo.png/220px-The_game_maker_logo.png,https://www.yoyogames.com/,
GDScript,https://en.wikipedia.org/wiki/Godot_(game_engine),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Godot_%28game_engine%29_logo.svg/200px-Godot_%28game_engine%29_logo.svg.png,https://godotengine.org/,
Go,https://en.wikipedia.org/wiki/Go_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Golang.png/220px-Golang.png,https://golang.org/,
Google Apps Script,https://en.wikipedia.org/wiki/Google_Apps_Script,https://upload.wikimedia.org/wikipedia/en/f/f2/Google_Apps_Script.png,https://www.google.com/script/start/,
Groovy,https://en.wikipedia.org/wiki/Groovy_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Groovy-logo.svg/220px-Groovy-logo.svg.png,http://groovy-lang.org/,
Hack,https://en.wikipedia.org/wiki/Hack_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Hack_%28programming_language%29_logo.svg/200px-Hack_%28programming_language%29_logo.svg.png,http://hacklang.org/,
Hamilton C shell,https://en.wikipedia.org/wiki/Hamilton_C_shell,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Hamilton_C_shell_x64_on_Windows_7.png/300px-Hamilton_C_shell_x64_on_Windows_7.png,https://www.hamiltonlabs.com/Cshell.htm,
Hartmann pipelines,https://en.wikipedia.org/wiki/Hartmann_pipeline,https://upload.wikimedia.org/wikipedia/en/0/0c/Pipjarg1.jpeg,http://vm.marist.edu/~pipeline/,
Haskell,https://en.wikipedia.org/wiki/Haskell_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Haskell-Logo.svg/120px-Haskell-Logo.svg.png,https://www.haskell.org/,
Haxe,https://en.wikipedia.org/wiki/Haxe,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Haxe_logo.svg/220px-Haxe_logo.svg.png,http://haxe.org/,
Hop,https://en.wikipedia.org/wiki/Hop_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Hop_logo.svg/150px-Hop_logo.svg.png,http://hop.inria.fr/home/index.html,
Icon,https://en.wikipedia.org/wiki/Icon_(programming_language),https://upload.wikimedia.org/wikipedia/en/c/cf/Icon_logo.png,https://www2.cs.arizona.edu/icon/,
Inform,https://en.wikipedia.org/wiki/Inform,https://upload.wikimedia.org/wikipedia/en/4/4c/Inform_7_IDE_Icon.png,http://inform7.com/,
Ioke,https://en.wikipedia.org/wiki/Ioke_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ioke.svg/220px-Ioke.svg.png,https://ioke.org/,
