name,wikipedia_site,logo_url,official_site,id
Dojo Toolkit,https://en.wikipedia.org/wiki/Dojo_Toolkit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Dojo_toolkit_logo.svg/200px-Dojo_toolkit_logo.svg.png,http://dojotoolkit.org,
jQuery,https://en.wikipedia.org/wiki/JQuery,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/JQuery_logo.svg/220px-JQuery_logo.svg.png,https://jquery.com,
MooTools,https://en.wikipedia.org/wiki/MooTools,https://upload.wikimedia.org/wikipedia/en/e/e1/MooTools_%28logo%29.png,https://mootools.net,
React,https://en.wikipedia.org/wiki/React_(JavaScript_library),https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/React-icon.svg/140px-React-icon.svg.png,http://facebook.github.io/react,
D3.js,https://en.wikipedia.org/wiki/D3.js,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Logo_D3.svg/100px-Logo_D3.svg.png,http://d3js.org,
p5.js,https://en.wikipedia.org/wiki/Processing_(programming_language)#p5.js,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Processing_3_logo.png/180px-Processing_3_logo.png,https://processing.org,
Raphaël,https://en.wikipedia.org/wiki/Rapha%C3%ABl_(JavaScript_library),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Rapha%C3%ABl_logo.svg/64px-Rapha%C3%ABl_logo.svg.png,http://dmitrybaranovskiy.github.io/raphael/,
SWFObject,https://en.wikipedia.org/wiki/SWFObject,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Swfobject_logo.gif/200px-Swfobject_logo.gif,https://github.com/swfobject/swfobject,
Three.js,https://en.wikipedia.org/wiki/Three.js,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Three.js-code-example.jpg/300px-Three.js-code-example.jpg,https://threejs.org/,
WhitestormJS,https://en.wikipedia.org/wiki/WhitestormJS,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Whitestormjs.png/220px-Whitestormjs.png,https://whsjs.io/,
Angular (application platform),https://en.wikipedia.org/wiki/Angular_(application_platform),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Angular_full_color_logo.svg/250px-Angular_full_color_logo.svg.png,https://angular.io/,
Bootstrap,https://en.wikipedia.org/wiki/Bootstrap_(front-end_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Boostrap_logo.svg/220px-Boostrap_logo.svg.png,http://getbootstrap.com,
