name,wikipedia_site,logo_url,official_site,id
Apache HTTP Server,https://en.wikipedia.org/wiki/Apache_HTTP_Server,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Apache_HTTP_server_logo_%282016%29.svg/250px-Apache_HTTP_server_logo_%282016%29.svg.png,https://httpd.apache.org,
Apache Tomcat,https://en.wikipedia.org/wiki/Apache_Tomcat,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Tomcat-logo.svg/96px-Tomcat-logo.svg.png,http://tomcat.apache.org,
Caddy,https://en.wikipedia.org/wiki/Caddy_(web_server),https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/The_Caddy_web_server_logo.svg/220px-The_Caddy_web_server_logo.svg.png,https://caddyserver.com,
Cherokee HTTP Server,https://en.wikipedia.org/wiki/Cherokee_(Webserver),https://upload.wikimedia.org/wikipedia/commons/7/77/Cherokee-logo-bar.png,http://cherokee-project.com/,
GlassFish,https://en.wikipedia.org/wiki/GlassFish,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/GlassFish_logo.svg/95px-GlassFish_logo.svg.png,http://javaee.github.io/glassfish,
Hiawatha,https://en.wikipedia.org/wiki/Hiawatha_(web_server),https://upload.wikimedia.org/wikipedia/en/1/10/Hiawatha_392x72.png,http://www.hiawatha-webserver.org/,
HFS,https://en.wikipedia.org/wiki/HTTP_File_Server,https://upload.wikimedia.org/wikipedia/en/7/73/HFS-logo100.gif,http://rejetto.com/hfs/,
Internet Information Services,https://en.wikipedia.org/wiki/Internet_Information_Services,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/IIS_8.5.9431_management_console.png/300px-IIS_8.5.9431_management_console.png,http://iis.net,
Jetty,https://en.wikipedia.org/wiki/Jetty_(web_server),https://upload.wikimedia.org/wikipedia/en/a/a1/Jetty_logo.png,http://www.eclipse.org/jetty/,
lighttpd,https://en.wikipedia.org/wiki/Lighttpd,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Lighttpd_logo.svg/170px-Lighttpd_logo.svg.png,https://www.lighttpd.net,
Nginx,https://en.wikipedia.org/wiki/Nginx,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Nginx_logo.svg/220px-Nginx_logo.svg.png,https://nginx.org,
OpenLink Virtuoso,https://en.wikipedia.org/wiki/Virtuoso_Universal_Server,https://upload.wikimedia.org/wikipedia/commons/3/3f/Virtuoso-logo-sm.png,http://virtuoso.openlinksw.com/,
Oracle WebLogic Server,https://en.wikipedia.org/wiki/Oracle_WebLogic_Server,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Oracle_logo.svg/200px-Oracle_logo.svg.png,http://www.oracle.com/us/products/middleware/application-server/index.html,
Wakanda Server,https://en.wikipedia.org/wiki/Wakanda_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Logo-Wakanda.io.png/320px-Logo-Wakanda.io.png,http://wakanda.io/,
Hiawatha HTTP Server,https://en.wikipedia.org/wiki/Hiawatha_webserver,https://upload.wikimedia.org/wikipedia/en/1/10/Hiawatha_392x72.png,http://www.hiawatha-webserver.org/,
Jetty (Java),https://en.wikipedia.org/wiki/Jetty_(web_server),https://upload.wikimedia.org/wikipedia/en/a/a1/Jetty_logo.png,http://www.eclipse.org/jetty/,
