name,wikipedia_site,logo_url,official_site,id
Aerospike database,https://en.wikipedia.org/wiki/Aerospike_database,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Aerospike_logo_2012.svg/300px-Aerospike_logo_2012.svg.png,http://www.aerospike.com/,
Apache Jackrabbit,https://en.wikipedia.org/wiki/Apache_Jackrabbit,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Jackrabbitlogo.png/200px-Jackrabbitlogo.png,https://jackrabbit.apache.org/,
Oracle NoSQL Database,https://en.wikipedia.org/wiki/Oracle_NoSQL_Database,https://upload.wikimedia.org/wikipedia/commons/e/e8/Oracle_NOSQL_Database.jpg,http://www.oracle.com/technetwork/database/database-technologies/nosqldb/overview/index.html,
Apache Cassandra,https://en.wikipedia.org/wiki/Apache_Cassandra,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cassandra_logo.svg/220px-Cassandra_logo.svg.png,https://cassandra.apache.org/,
Couchbase,https://en.wikipedia.org/wiki/Couchbase,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/CouchbaseLogo.svg/224px-CouchbaseLogo.svg.png,http://www.couchbase.com/,
CouchDB,https://en.wikipedia.org/wiki/CouchDB,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/CouchDB.svg/100px-CouchDB.svg.png,https://couchdb.apache.org/,
Apache HBase,https://en.wikipedia.org/wiki/Apache_HBase,https://upload.wikimedia.org/wikipedia/en/e/e7/HBase_Logo.png,https://hbase.apache.org/,
Hypertable,https://en.wikipedia.org/wiki/Hypertable,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Logo-hypertable.png/220px-Logo-hypertable.png,http://www.hypertable.com/,
Information Management System,https://en.wikipedia.org/wiki/Information_Management_System,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/200px-IBM_logo.svg.png,http://www-01.ibm.com/common/ssi/rep_ca/5/897/ENUS215-405/ENUS215-405.PDF,
Memcached,https://en.wikipedia.org/wiki/Memcached,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Memcached.svg/100px-Memcached.svg.png,https://www.memcached.org/,
MongoDB,https://en.wikipedia.org/wiki/MongoDB,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/MongoDB-Logo.svg/400px-MongoDB-Logo.svg.png,https://www.mongodb.com/,
Neo4j,https://en.wikipedia.org/wiki/Neo4j,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Neo4j-2015-logo.png/182px-Neo4j-2015-logo.png,https://neo4j.com/,
OrientDB,https://en.wikipedia.org/wiki/OrientDB,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/OrientdbLogo.png/300px-OrientdbLogo.png,http://orientdb.com,
Redis,https://en.wikipedia.org/wiki/Redis,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Redis_Logo.svg/200px-Redis_Logo.svg.png,http://redis.io/,
