A# .NET,/wiki/A_Sharp_(.NET),N,http://www.asharp.martincarlisle.com/,http://adagide.martincarlisle.com/adagidelogo.gif,N
A# (Axiom),/wiki/A_Sharp_(Axiom),N,http://axiom-developer.org/,http://sourceforge.net/sflogo.php?group_id=48359&type=1,N
A-0 System,/wiki/A-0_System,N,N,N,N
A+,/wiki/A%2B_(programming_language),https://upload.wikimedia.org/wikipedia/en/5/5c/Aplus_logo.jpg,http://www.aplusdev.org/index.html,N,N
A++,/wiki/A%2B%2B,N,N,N,N
ABAP,/wiki/ABAP,N,https://www.sap.com/community/topic/abap.html,/dam/application/shared/logos/sap-logo-svg.svg,N
ABC,/wiki/ABC_(programming_language),N,N,N,N
ABC ALGOL,/wiki/ABC_ALGOL,N,N,N,N
ABSET,/wiki/ABSET,N,N,N,N
ABSYS,/wiki/ABSYS,N,N,N,N
ACC,/wiki/ACC_(programming_language),N,N,N,N
Accent,/wiki/Accent_(programming_language),https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/RationalSoftware.png/220px-RationalSoftware.png,http://www-03.ibm.com/software/products/en/ratisyne,N,N
Ace DASL,/wiki/Distributed_Application_Specification_Language,N,N,N,N
ACT-III,/wiki/LGP-30#ACT-III_programming_language,N,N,N,N
Action!,/wiki/Action!_(programming_language),https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Actionscr.png/300px-Actionscr.png,N,N,N
ActionScript,/wiki/ActionScript,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/ActionScript_icon.png/150px-ActionScript_icon.png,http://help.adobe.com/livedocs/specs/actionscript/3/wwhelp/wwhimpl/js/html/wwhelp.htm,N,N
Ada,/wiki/Ada_(programming_language),N,http://www.adaic.org/,N,N
Adenine,/wiki/Adenine_(programming_language),N,N,N,N
Agda,/wiki/Agda_(theorem_prover),N,http://wiki.portal.chalmers.se/agda/pmwiki.php,N,N
Agilent VEE,/wiki/Agilent_VEE,N,http://www.keysight.com/ko/pd-1476554-pn-W4000D/vee-pro-932?nid=-32809.806312.00&cc=KR&lc=kor&cmpid=20604,http://www.cdn.keysight.com/main/assets/images/frame/keysight-logo.png,N
Agora,/wiki/Agora_(programming_language),N,N,N,N
AIMMS,/wiki/AIMMS,N,https://aimms.com/,https://aimms-aimms.netdna-ssl.com/files/1214/2981/9233/american-flag-icon.png,N
Alef,/wiki/Alef_(programming_language),N,N,N,N
ALF,/wiki/Algebraic_Logic_Functional_programming_language,N,https://www.informatik.uni-kiel.de//~mh/systems/ALF/README,N,N
ALGOL 58,/wiki/ALGOL_58,N,N,N,N
ALGOL 60,/wiki/ALGOL_60,N,N,N,N
ALGOL 68,/wiki/ALGOL_68,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Algol68RevisedReportCover.jpg/220px-Algol68RevisedReportCover.jpg,N,N,N
ALGOL W,/wiki/ALGOL_W,N,N,N,N
Alice,/wiki/Alice_(programming_language),N,http://www.ps.uni-saarland.de/alice/,N,N
